0.17228	0.16281	0.12197	0.11483	0.11359	0.08617	0.08332	0.06886	0.05096	0.02523
0.04822	0.04557	0.03414	0.03214	0.75182	0.02413	0.02333	0.01927	0.01428	0.00709
0.01974	0.60879	0.01398	0.01316	0.01301	0.00988	0.30482	0.00789	0.00584	0.0029
0.01242	0.01174	0.0123	0.00828	0.00818	0.00621	0.00601	0.89599	0.03705	0.00182
0.02801	0.86386	0.01983	0.01867	0.01846	0.01401	0.01355	0.01119	0.00829	0.00411
0.01524	0.0144	0.04118	0.01016	0.88279	0.00793	0.00737	0.00609	0.00451	0.01034
0.01525	0.01441	0.0153	0.01016	0.91703	0.00763	0.00738	0.00609	0.00451	0.00224
0.01974	0.01866	0.01398	0.01316	0.89841	0.00988	0.00955	0.00789	0.00584	0.0029
0.17228	0.16281	0.12197	0.11483	0.11359	0.08617	0.08332	0.06886	0.05096	0.02523
0.00862	0.00754	0.01719	0.00532	0.44965	0.49782	0.00386	0.00319	0.00236	0.00446
0.17228	0.16281	0.12197	0.11483	0.11359	0.08617	0.08332	0.06886	0.05096	0.02523
0.01975	0.01866	0.01398	0.01317	0.01302	0.00988	0.77487	0.00789	0.12587	0.0029
0.74763	0.04554	0.03412	0.03212	0.03177	0.02411	0.04411	0.01926	0.01426	0.00707
0.17228	0.16281	0.12197	0.11483	0.11359	0.08617	0.08332	0.06886	0.05096	0.02523
0.01048	0.0099	0.00742	0.33119	0.0069	0.00524	0.00507	0.61916	0.0031	0.00154
0.04819	0.76579	0.03412	0.03212	0.03176	0.02411	0.02331	0.01926	0.01426	0.00707
0.17228	0.16281	0.12197	0.11483	0.11359	0.08617	0.08332	0.06886	0.05096	0.02523
0.00905	0.00856	0.00641	0.00627	0.00597	0.00453	0.00438	0.95081	0.00268	0.00133
0.19729	0.01174	0.0335	0.00829	0.71879	0.00647	0.00602	0.00496	0.00368	0.00925
0.17228	0.16281	0.12197	0.11483	0.11359	0.08617	0.08332	0.06886	0.05096	0.02523
0.17228	0.16281	0.12197	0.11483	0.11359	0.08617	0.08332	0.06886	0.05096	0.02523
0.76862	0.04551	0.03409	0.0321	0.03175	0.02409	0.02329	0.01925	0.01425	0.00706
0.17228	0.16281	0.12197	0.11483	0.11359	0.08617	0.08332	0.06886	0.05096	0.02523
0.76843	0.04554	0.03412	0.03212	0.03177	0.02411	0.02331	0.01926	0.01426	0.00707
0.05103	0.01866	0.01398	0.01316	0.01301	0.00988	0.86366	0.00789	0.00584	0.0029
0.02801	0.44524	0.01983	0.01867	0.01846	0.43264	0.01355	0.01119	0.00829	0.00411
0.02801	0.86386	0.01983	0.01867	0.01846	0.01401	0.01355	0.01119	0.00829	0.00411
0.00906	0.00856	0.00641	0.27651	0.41184	0.00453	0.00438	0.00362	0.27374	0.00133
0.02107	0.01865	0.88945	0.0148	0.01599	0.01005	0.00955	0.00809	0.00584	0.00649
0.01242	0.01174	0.0088	0.19658	0.01715	0.00622	0.00601	0.73558	0.00368	0.00183
0.028	0.02646	0.01982	0.01866	0.01846	0.01401	0.85102	0.01119	0.00828	0.00411
0.00862	0.00754	0.01719	0.00532	0.44965	0.49782	0.00386	0.00319	0.00236	0.00446
0.17228	0.16281	0.12197	0.11483	0.11359	0.08617	0.08332	0.06886	0.05096	0.02523
